impartiality,interest,0.15
seven,series,0.19
student,professor,0.24
start,match,0.1
nature,environment,0.36
money,withdrawal,0.15
asylum,madhouse,0.12
soap,opera,0.33
precedent,antecedent,0.25
food,rooster,0.16
population,development,0.1
game,series,0.29
cup,article,0.03
video,archive,0.34
currency,market,0.34
phone,equipment,0.3
psychology,depression,0.13
cup,artifact,0.04
football,tennis,0.48
weather,forecast,0.41
coast,hill,0.14
psychology,science,0.61
peace,plan,0.19
seafood,lobster,0.39
stock,market,0.35
law,lawyer,0.28
alcohol,chemistry,0.16
tiger,cat,0.51
ministry,culture,0.26
network,hardware,0.37
dollar,buck,0.2
environment,ecology,0.44
king,rook,0.17
problem,challenge,0.23
football,soccer,0.64
drug,abuse,0.49
bread,butter,0.64
secretary,senate,0.27
murder,manslaughter,0.49
precedent,information,0.23
disability,death,0.15
money,wealth,0.36
lad,brother,0.24
reason,criterion,0.25
arrival,hotel,0.15
psychology,clinic,0.25
school,center,0.28
championship,tournament,0.6
water,seepage,0.37
hotel,reservation,0.24
production,crew,0.17
calculation,computation,0.65
morality,importance,0.31
volunteer,motto,0.16
cup,liquid,0.04
discovery,space,0.22
food,fruit,0.43
cup,coffee,0.09
smart,student,0.15
bishop,rabbi,0.42
governor,interview,0.2
delay,news,0.13
forest,graveyard,0.24
journey,voyage,0.53
grocery,money,0.2
listing,proximity,0.02
doctor,liability,0.1
architecture,century,0.2
governor,office,0.19
investigation,effort,0.24
dividend,calculation,0.31
equipment,maker,0.28
stock,egg,0.19
lawyer,evidence,0.07
luxury,car,0.36
liquid,water,0.52
man,woman,0.63
drink,car,0.18
deployment,withdrawal,0.41
treatment,recovery,0.44
tiger,organism,0.17
seafood,food,0.53
consumer,confidence,0.22
sugar,approach,0.1
computer,news,0.14
government,crisis,0.23
doctor,personnel,0.1
doctor,nurse,0.43
exhibit,memorabilia,0.3
money,deposit,0.32
car,flight,0.21
brother,monk,0.36
psychology,psychiatry,0.56
company,stock,0.29
focus,life,0.12
weapon,secret,0.19
mile,kilometer,0.52
board,recommendation,0.2
stock,jaguar,0.22
computer,internet,0.42
glass,magician,0.18
energy,crisis,0.18
tiger,animal,0.29
hospital,infrastructure,0.12
territory,surface,0.09
psychology,fear,0.12
nature,man,0.16
minority,peace,0.17
life,death,0.24
psychology,doctor,0.2
car,automobile,0.58
computer,keyboard,0.36
cup,substance,0.03
book,paper,0.31
planet,moon,0.35
planet,space,0.22
experience,music,0.14
computer,software,0.64
movie,star,0.3
museum,theater,0.35
practice,institution,0.2
precedent,group,0.12
book,library,0.15
bird,cock,0.27
drink,eat,0.56
money,possession,0.22
travel,activity,0.21
boy,lad,0.37
tiger,fauna,0.26
midday,noon,0.54
peace,insurance,0.13
professor,doctor,0.31
line,insurance,0.07
man,governor,0.09
atmosphere,landscape,0.32
tiger,zoo,0.26
seafood,sea,0.14
territory,kilometer,0.12
announcement,warning,0.27
change,attitude,0.32
registration,arrangement,0.24
wood,forest,0.27
marathon,sprint,0.39
psychology,discipline,0.42
game,round,0.25
glass,metal,0.48
disaster,area,0.11
summer,nature,0.04
king,cabbage,0.09
baby,mother,0.4
psychology,cognition,0.47
day,dawn,0.26
magician,wizard,0.48
announcement,effort,0.14
planet,galaxy,0.4
tiger,tiger,1.0
stock,phone,0.17
monk,oracle,0.28
oil,stock,0.26
profit,loss,0.25
food,preparation,0.31
energy,laboratory,0.29
record,number,0.1
deployment,departure,0.23
president,medal,0.09
tennis,racket,0.14
space,world,0.07
lover,quarrel,0.29
precedent,example,0.28
professor,cucumber,0.04
century,nation,0.08
drink,ear,0.24
game,team,0.28
precedent,cognition,0.24
cup,tableware,0.06
lobster,wine,0.29
money,operation,0.1
cemetery,woodland,0.29
announcement,production,0.13
development,issue,0.11
prejudice,recognition,0.21
lad,wizard,0.32
vodka,gin,0.35
investor,earning,0.19
space,chemistry,0.17
family,planning,0.08
tiger,feline,0.24
plane,car,0.34
observation,architecture,0.18
life,lesson,0.21
bank,money,0.16
drink,mouth,0.15
five,month,0.25
lobster,food,0.29
death,inmate,0.27
morality,marriage,0.25
tiger,jaguar,0.45
fuck,sex,0.22
movie,critic,0.21
cell,phone,0.24
money,dollar,0.34
production,hike,0.14
energy,secretary,0.08
movie,popcorn,0.23
cucumber,potato,0.48
preservation,world,0.08
day,summer,0.22
gender,equality,0.49
profit,warning,0.15
tool,implement,0.45
king,queen,0.47
theater,history,0.16
possibility,girl,0.08
concert,virtuoso,0.25
cup,entity,0.05
situation,isolation,0.33
planet,constellation,0.2
fighting,defeating,0.24
opera,performance,0.17
credit,card,0.31
baseball,season,0.22
death,row,0.09
listing,category,0.12
life,term,0.11
minister,party,0.26
skin,eye,0.48
game,victory,0.22
game,defeat,0.17
coast,forest,0.16
aluminum,metal,0.59
delay,racism,0.28
monk,slave,0.27
bird,crane,0.33
psychology,health,0.3
television,film,0.46
liability,insurance,0.5
psychology,mind,0.23
crane,implement,0.18
street,avenue,0.68
canyon,landscape,0.23
money,bank,0.16
boxing,round,0.13
decoration,valor,0.25
planet,astronomer,0.11
money,property,0.3
money,laundering,0.23
coast,shore,0.41
tiger,carnivore,0.2
music,project,0.14
smart,stupid,0.39
sign,recess,0.14
credit,information,0.31
size,prominence,0.18
direction,combination,0.18
shore,woodland,0.23
stroke,hospital,0.14
announcement,news,0.25
closet,clothes,0.31
holy,sex,0.09
hundred,percent,0.38
competition,price,0.08
consumer,energy,0.38
telephone,communication,0.39
opera,industry,0.08
rock,jazz,0.53
word,similarity,0.21
summer,drought,0.14
street,block,0.2
arrangement,accommodation,0.28
attempt,peace,0.15
shower,thunderstorm,0.28
planet,star,0.26
rooster,voyage,0.13
planet,people,0.13
noon,string,0.15
image,surface,0.25
stock,life,0.06
bed,closet,0.28
dollar,profit,0.32
tiger,mammal,0.24
precedent,collection,0.13
psychology,anxiety,0.26
viewer,serial,0.22
cup,object,0.02
shower,flood,0.24
journal,association,0.29
computer,laboratory,0.42
chance,credibility,0.25
gem,jewel,0.44
start,year,0.12
vodka,brandy,0.35
problem,airport,0.06
precedent,law,0.3
love,sex,0.28
stock,live,0.1
cup,food,0.05
century,year,0.15
movie,theater,0.27
benchmark,index,0.36
reason,hypertension,0.11
drink,mother,0.13
jaguar,car,0.37
money,currency,0.35
football,basketball,0.62
planet,sun,0.27
dollar,loss,0.12
dollar,yen,0.43
situation,conclusion,0.23
report,gain,0.12
