impartiality,interest,0.67
seven,series,0.82
student,professor,0.84
start,match,0.83
nature,environment,0.88
money,withdrawal,0.84
asylum,madhouse,0.76
soap,opera,0.6
precedent,antecedent,0.74
food,rooster,0.79
population,development,0.84
game,series,0.92
cup,article,0.67
video,archive,0.8
currency,market,0.94
phone,equipment,0.7
psychology,depression,0.6
cup,artifact,0.63
football,tennis,0.67
weather,forecast,0.85
coast,hill,0.83
psychology,science,0.92
peace,plan,0.83
seafood,lobster,0.87
stock,market,0.88
law,lawyer,0.57
alcohol,chemistry,0.8
tiger,cat,0.97
ministry,culture,0.73
network,hardware,0.82
dollar,buck,0.72
environment,ecology,0.89
king,rook,0.79
problem,challenge,0.91
football,soccer,0.86
drug,abuse,0.77
bread,butter,0.92
secretary,senate,0.8
murder,manslaughter,0.84
precedent,information,0.69
disability,death,0.64
money,wealth,0.83
lad,brother,0.53
reason,criterion,0.88
arrival,hotel,0.79
psychology,clinic,0.69
school,center,0.62
championship,tournament,0.9
water,seepage,0.89
hotel,reservation,0.9
production,crew,0.91
calculation,computation,0.95
morality,importance,0.8
volunteer,motto,0.65
cup,liquid,0.62
discovery,space,0.88
food,fruit,0.89
cup,coffee,0.59
smart,student,0.86
bishop,rabbi,0.92
governor,interview,0.38
delay,news,0.87
forest,graveyard,0.9
journey,voyage,0.97
grocery,money,0.4
listing,proximity,0.07
doctor,liability,0.79
architecture,century,0.53
governor,office,0.87
investigation,effort,0.67
dividend,calculation,0.83
equipment,maker,0.8
stock,egg,0.85
lawyer,evidence,0.42
luxury,car,0.83
liquid,water,0.91
man,woman,0.97
drink,car,0.82
deployment,withdrawal,0.93
treatment,recovery,0.91
tiger,organism,0.86
seafood,food,0.92
consumer,confidence,0.84
sugar,approach,0.68
computer,news,0.84
government,crisis,0.93
doctor,personnel,0.42
doctor,nurse,0.82
exhibit,memorabilia,0.63
money,deposit,0.85
car,flight,0.92
brother,monk,0.52
psychology,psychiatry,0.95
company,stock,0.86
focus,life,0.58
weapon,secret,0.95
mile,kilometer,0.74
board,recommendation,0.94
stock,jaguar,0.88
computer,internet,0.75
glass,magician,0.85
energy,crisis,0.84
tiger,animal,0.89
hospital,infrastructure,0.75
territory,surface,0.96
psychology,fear,0.82
nature,man,0.77
minority,peace,0.82
life,death,0.83
psychology,doctor,0.7
car,automobile,0.85
computer,keyboard,0.87
cup,substance,0.61
book,paper,0.96
planet,moon,0.97
planet,space,0.89
experience,music,0.91
computer,software,0.89
movie,star,0.94
museum,theater,0.93
practice,institution,0.88
precedent,group,0.83
book,library,0.95
bird,cock,0.89
drink,eat,0.82
money,possession,0.77
travel,activity,0.63
boy,lad,0.96
tiger,fauna,0.64
midday,noon,0.89
peace,insurance,0.77
professor,doctor,0.78
line,insurance,0.61
man,governor,0.79
atmosphere,landscape,0.95
tiger,zoo,0.95
seafood,sea,0.63
territory,kilometer,0.48
announcement,warning,0.69
change,attitude,0.82
registration,arrangement,0.88
wood,forest,0.88
marathon,sprint,0.79
psychology,discipline,0.87
game,round,0.92
glass,metal,0.82
disaster,area,0.92
summer,nature,0.72
king,cabbage,0.7
