Word 1,Word 2,Proc_Score
love,sex,0.27715667859655013
tiger,cat,0.5069322569316412
tiger,tiger,1.0000000000000007
book,paper,0.31125114708673224
computer,keyboard,0.3657112332299367
computer,internet,0.42374878381754116
plane,car,0.3438037371440733
train,car,0.4073632837588121
telephone,communication,0.38535506321773166
television,radio,0.5960204285488614
media,radio,0.2973651479127007
drug,abuse,0.48546298299669144
bread,butter,0.6984030369498895
cucumber,potato,0.7852927052350889
doctor,nurse,0.4374062079445281
professor,doctor,0.3072594249265232
student,professor,0.2447581080333906
smart,student,0.15625933576846904
smart,stupid,0.5313588431290102
company,stock,0.2867249118756672
stock,market,0.34508139433909873
stock,phone,0.17431995571560518
stock,CD,0.2973651479127007
stock,jaguar,0.2867674113784496
stock,egg,0.19737226172979075
fertility,egg,0.41195855335291837
stock,live,0.10085037723326565
stock,life,0.0555721109637854
book,library,0.14673687401380786
bank,money,0.16024284510519668
wood,forest,0.272608314305642
money,cash,0.5486733408721642
professor,cucumber,0.2575661683610663
king,cabbage,0.2631394295201267
king,queen,0.4679549506809615
king,rook,0.29686559181623934
bishop,rabbi,0.4203889858363206
Jerusalem,Israel,0.2973651479127007
Jerusalem,Palestinian,0.2973651479127007
holy,sex,0.08582168286874879
fuck,sex,0.31796437387290066
Maradona,football,0.2973651479127007
football,soccer,0.6416656728873862
football,basketball,0.6162075819663293
football,tennis,0.4750810494341175
tennis,racket,0.20573285257974505
Arafat,peace,0.2973651479127007
Arafat,terror,0.2973651479127007
Arafat,Jackson,0.2973651479127007
law,lawyer,0.27939785051392024
movie,star,0.30028644452179304
movie,popcorn,0.29611283132899036
movie,critic,0.2142636572165186
movie,theater,0.27256445378460786
physics,proton,0.2973651479127007
physics,chemistry,0.2973651479127007
space,chemistry,0.16628829126905503
alcohol,chemistry,0.16258641528619172
vodka,gin,0.9293219041773955
vodka,brandy,0.9352293491620609
drink,car,0.1780335876505134
drink,ear,0.2744205007824278
drink,mouth,0.14731835722729814
drink,eat,0.5605113109879658
baby,mother,0.40342128672726485
drink,mother,0.134294139497071
car,automobile,0.5794352082250799
gem,jewel,0.8196841468031364
journey,voyage,0.5297092075935386
boy,lad,0.3723172028565287
coast,shore,0.40613914751980945
asylum,madhouse,0.5897071208579846
magician,wizard,0.7126879098378315
midday,noon,0.8259473178762483
furnace,stove,0.8412194519248792
food,fruit,0.4343065238572615
bird,cock,0.34023428835553793
bird,crane,0.3498869635407524
tool,implement,0.4523920818506039
brother,monk,0.3633225978167035
crane,implement,0.23690623268060057
lad,brother,0.2988114216413898
journey,car,0.1297040887769463
monk,oracle,0.38208871546687545
cemetery,woodland,0.30334687426181545
food,rooster,0.29090629704950854
coast,hill,0.14249441767846913
forest,graveyard,0.2799595319180039
shore,woodland,0.23952213924973395
monk,slave,0.2715866663598628
coast,forest,0.1615359588468964
lad,wizard,0.6726726125541787
chord,smile,0.5688633146915064
glass,magician,0.2661631576185982
noon,string,0.22898135574402143
rooster,voyage,0.304875272823077
money,dollar,0.34102351724401847
money,cash,0.5486733408721642
money,currency,0.34563905945191625
money,wealth,0.35817833162059903
money,property,0.2977015091199993
money,possession,0.2234165297805842
money,bank,0.16024284510519668
money,deposit,0.330651440381689
money,withdrawal,0.14786318945015167
money,laundering,0.26950374719037057
money,operation,0.10249295620882933
tiger,jaguar,0.497970371288206
tiger,feline,0.43300249551835474
tiger,carnivore,0.42907459640112905
tiger,mammal,0.37691536228002703
tiger,animal,0.2877193566652273
tiger,organism,0.2922515801246904
tiger,fauna,0.3267109789445924
tiger,zoo,0.2575004655951063
psychology,psychiatry,0.49564126200411635
psychology,anxiety,0.2965816929432204
psychology,fear,0.1156497683332129
psychology,depression,0.12576624878233808
psychology,clinic,0.256957441612298
psychology,doctor,0.20196960993383548
psychology,Freud,0.2973651479127007
psychology,mind,0.23370347347557233
