Word 1,Word 2,Proc_Score
love,sex,0.7401732090319711
tiger,cat,0.9435217079092781
tiger,tiger,1.0000000000000002
book,paper,0.9453519889778706
computer,keyboard,0.6897778983102409
computer,internet,0.5580591079439038
plane,car,0.9340537499146705
train,car,0.8259778901836676
telephone,communication,0.5539306282667631
television,radio,0.6497413718688113
media,radio,0.6367164955226664
drug,abuse,0.5565229782933138
bread,butter,0.9179001060537428
cucumber,potato,0.49119588833981404
doctor,nurse,0.7297968545865143
professor,doctor,0.6236941312700893
student,professor,0.6704014037227249
smart,student,0.7834464717266807
smart,stupid,0.8199493372881016
company,stock,0.5878390750307756
stock,market,0.6253739086393214
stock,phone,0.4550107356165231
stock,CD,0.6367164955226664
stock,jaguar,0.6256843548601997
stock,egg,0.564419186276112
fertility,egg,0.5666496243805539
stock,live,0.38828736991930995
stock,life,0.4554961761707108
book,library,0.8755096291399656
bank,money,0.7313175476936353
wood,forest,0.7810676898912826
money,cash,0.7496574858110333
professor,cucumber,0.29856979968874686
king,cabbage,0.6139420680933646
king,queen,0.9352518531032145
king,rook,0.6969412941737761
bishop,rabbi,0.8955865985120206
Jerusalem,Israel,0.6367164955226664
Jerusalem,Palestinian,0.6367164955226664
holy,sex,0.4332502024594306
fuck,sex,0.5609264414796066
Maradona,football,0.6367164955226664
football,soccer,0.8478213043831003
football,basketball,0.6944220104003276
football,tennis,0.4287130883144974
tennis,racket,0.39872238158222967
Arafat,peace,0.6367164955226664
Arafat,terror,0.6367164955226664
Arafat,Jackson,0.6367164955226664
law,lawyer,0.5335415556208131
movie,star,0.7001260388446608
movie,popcorn,0.5799702105750784
movie,critic,0.36476925930622245
movie,theater,0.7216858791563368
physics,proton,0.6367164955226664
physics,chemistry,0.6367164955226664
space,chemistry,0.8008352277721844
alcohol,chemistry,0.8071044797192395
vodka,gin,0.7657206748910947
vodka,brandy,0.9277586019787142
drink,car,0.6800267105842315
drink,ear,0.6541885326516496
drink,mouth,0.49474854501269117
drink,eat,0.8100891727035533
baby,mother,0.5227225285664162
drink,mother,0.3900300392731796
car,automobile,0.6270339703520964
gem,jewel,0.9399583747711127
journey,voyage,0.9305866758277588
boy,lad,0.8754952961643915
coast,shore,0.8371265127908529
asylum,madhouse,0.5963332461053222
magician,wizard,0.8549727867617049
midday,noon,0.8446738407446841
