student,professor,0.35
street,block,0.35
coast,shore,0.35
consumer,confidence,0.09
drink,mother,0.14
food,fruit,0.18
food,rooster,0.09
size,prominence,0.05
soap,opera,0.05
cup,article,0.17
consumer,energy,0.17
focus,life,0.18
drink,eat,0.41
investor,earning,0.24
problem,challenge,0.22
arrangement,accommodation,0.34
school,center,0.1
country,citizen,0.33
possibility,girl,0.23
impartiality,interest,0.13
computer,laboratory,0.28
championship,tournament,0.59
disability,death,0.16
death,inmate,0.31
game,team,0.53
credit,information,0.17
day,dawn,0.48
travel,activity,0.24
attempt,peace,0.25
tiger,jaguar,0.43
psychology,psychiatry,0.59
game,round,0.59
psychology,clinic,0.25
cup,object,0.1
chance,credibility,0.23
production,crew,0.35
weather,forecast,0.21
word,similarity,0.2
summer,nature,0.09
bird,cock,0.11
investigation,effort,0.22
money,dollar,0.15
coast,hill,0.24
preservation,world,0.06
tennis,racket,0.1
announcement,production,0.35
territory,kilometer,0.2
observation,architecture,0.15
tool,implement,0.42
delay,racism,0.24
type,kind,0.32
tiger,animal,0.17
money,wealth,0.27
dollar,buck,0.12
dollar,profit,0.26
money,laundering,0.06
journey,voyage,0.59
treatment,recovery,0.28
image,surface,0.17
psychology,health,0.21
theater,history,0.47
opera,performance,0.16
midday,noon,0.72
journey,car,0.31
nature,man,0.15
cell,phone,0.11
movie,critic,0.2
announcement,effort,0.39
competition,price,0.46
car,flight,0.39
rock,jazz,0.53
movie,popcorn,0.41
drink,mouth,0.08
territory,surface,0.16
asylum,madhouse,0.2
glass,metal,0.06
precedent,law,0.11
governor,office,0.26
minister,party,0.07
smart,stupid,0.25
man,woman,0.75
football,tennis,0.36
food,preparation,0.26
dividend,payment,0.59
skin,eye,0.39
boy,lad,0.44
stock,live,0.09
peace,insurance,0.06
aluminum,metal,0.13
credit,card,0.14
experience,music,0.19
furnace,stove,0.44
stock,market,0.2
street,place,0.2
king,queen,0.32
benchmark,index,0.47
family,planning,0.13
government,crisis,0.25
cup,artifact,0.08
lawyer,evidence,0.13
start,year,0.68
hundred,percent,0.05
admission,ticket,0.2
drug,abuse,0.11
brother,monk,0.13
murder,manslaughter,0.54
situation,conclusion,0.31
psychology,science,0.31
life,term,0.12
monk,oracle,0.19
practice,institution,0.27
seafood,sea,0.07
deployment,withdrawal,0.48
chord,smile,0.17
production,hike,0.21
money,bank,0.16
money,possession,0.23
tiger,feline,0.26
marathon,sprint,0.28
television,radio,0.38
closet,clothes,0.21
governor,interview,0.49
profit,warning,0.13
morality,importance,0.22
precedent,collection,0.13
concert,virtuoso,0.21
prejudice,recognition,0.11
cup,food,0.11
tiger,cat,0.43
company,stock,0.16
tiger,carnivore,0.2
dividend,calculation,0.28
stock,jaguar,0.2
lover,quarrel,0.31
summer,drought,0.42
game,victory,0.69
law,lawyer,0.22
phone,equipment,0.11
seven,series,0.28
rooster,voyage,0.16
bishop,rabbi,0.47
love,sex,0.25
psychology,anxiety,0.16
movie,theater,0.47
jaguar,cat,0.41
gender,equality,0.09
development,issue,0.26
cup,coffee,0.07
smart,student,0.18
liability,insurance,0.39
volunteer,motto,0.11
money,currency,0.27
viewer,serial,0.1
sugar,approach,0.14
bread,butter,0.42
computer,internet,0.2
equipment,maker,0.12
computer,software,0.31
grocery,money,0.03
fuck,sex,0.16
reason,hypertension,0.16
life,death,0.17
drink,car,0.15
oil,stock,0.15
month,hotel,0.29
psychology,mind,0.16
day,summer,0.27
stroke,hospital,0.33
doctor,nurse,0.34
crane,implement,0.28
holy,sex,0.08
dollar,yen,0.58
peace,atmosphere,0.14
tiger,organism,0.11
man,governor,0.21
planet,astronomer,0.08
psychology,doctor,0.37
cup,drink,0.04
announcement,warning,0.15
nature,environment,0.24
space,world,0.12
planet,space,0.17
cup,substance,0.03
tiger,mammal,0.12
journal,association,0.32
peace,plan,0.26
listing,proximity,0.0
shore,woodland,0.15
money,operation,0.25
century,year,0.07
cucumber,potato,0.07
telephone,communication,0.34
vodka,brandy,0.36
network,hardware,0.17
five,month,0.32
planet,galaxy,0.22
lad,brother,0.08
monk,slave,0.11
population,development,0.18
professor,cucumber,0.03
bed,closet,0.22
money,cash,0.42
atmosphere,landscape,0.14
movie,star,0.33
shower,thunderstorm,0.13
wood,forest,0.23
space,chemistry,0.14
money,withdrawal,0.18
cemetery,woodland,0.39
tiger,fauna,0.04
discovery,space,0.32
energy,laboratory,0.2
reason,criterion,0.31
listing,category,0.03
arrival,hotel,0.24
liquid,water,0.25
stock,life,0.04
line,insurance,0.08
money,property,0.22
coast,forest,0.12
precedent,group,0.13
train,car,0.29
game,series,0.57
minority,peace,0.11
noon,string,0.21
cup,tableware,0.08
energy,secretary,0.13
mile,kilometer,0.86
calculation,computation,0.47
music,project,0.23
doctor,personnel,0.08
psychology,discipline,0.3
death,row,0.43
record,number,0.78
game,defeat,0.65
tiger,tiger,1.0
bird,crane,0.25
video,archive,0.16
delay,news,0.2
psychology,depression,0.05
seafood,food,0.31
jaguar,car,0.46
change,attitude,0.1
announcement,news,0.27
weapon,secret,0.15
morality,marriage,0.15
news,report,0.42
doctor,liability,0.07
luxury,car,0.23
precedent,cognition,0.04
baseball,season,0.14
money,deposit,0.21
environment,ecology,0.35
football,soccer,0.85
computer,news,0.16
alcohol,chemistry,0.06
seafood,lobster,0.32
planet,sun,0.27
precedent,example,0.21
plane,car,0.41
book,library,0.28
ministry,culture,0.15
secretary,senate,0.73
professor,doctor,0.4
hospital,infrastructure,0.18
planet,people,0.19
registration,arrangement,0.24
lobster,wine,0.31
king,cabbage,0.09
football,basketball,0.69
opera,industry,0.14
precedent,information,0.11
magician,wizard,0.45
forest,graveyard,0.16
planet,constellation,0.12
fertility,egg,0.07
precedent,antecedent,0.17
hotel,reservation,0.14
cup,liquid,0.03
architecture,century,0.05
victim,emergency,0.15
stock,egg,0.08
bank,money,0.16
psychology,cognition,0.43
planet,moon,0.25
start,match,0.54
computer,keyboard,0.09
cup,entity,0.08
situation,isolation,0.34
street,avenue,0.65
psychology,fear,0.14
problem,airport,0.13
king,rook,0.21
sign,recess,0.09
currency,market,0.37
disaster,area,0.35
car,automobile,0.54
gem,jewel,0.32
life,lesson,0.1
lad,wizard,0.21
deployment,departure,0.41
dollar,loss,0.2
glass,magician,0.1
report,gain,0.23
shower,flood,0.16
baby,mother,0.52
lobster,food,0.17
book,paper,0.69
boxing,round,0.12
stock,phone,0.05
direction,combination,0.32
decoration,valor,0.59
planet,star,0.16
drink,ear,0.08
vodka,gin,0.19
canyon,landscape,0.1
museum,theater,0.4
president,medal,0.22
profit,loss,0.51
fighting,defeating,0.43
century,nation,0.14
exhibit,memorabilia,0.31
television,film,0.24
tiger,zoo,0.33
energy,crisis,0.15
board,recommendation,0.25
water,seepage,0.18
