student,professor,0.31
street,block,0.28
coast,shore,0.53
consumer,confidence,0.26
drink,mother,0.25
food,fruit,0.49
food,rooster,0.2
size,prominence,0.17
soap,opera,0.34
cup,article,0.04
consumer,energy,0.39
focus,life,0.23
drink,eat,0.61
investor,earning,0.15
problem,challenge,0.26
arrangement,accommodation,0.26
school,center,0.26
country,citizen,0.2
possibility,girl,0.16
impartiality,interest,0.23
computer,laboratory,0.45
championship,tournament,0.66
disability,death,0.19
death,inmate,0.38
game,team,0.37
credit,information,0.32
day,dawn,0.34
travel,activity,0.23
attempt,peace,0.23
tiger,jaguar,0.47
psychology,psychiatry,0.61
game,round,0.32
psychology,clinic,0.25
cup,object,0.02
chance,credibility,0.3
production,crew,0.18
weather,forecast,0.46
word,similarity,0.39
summer,nature,0.04
bird,cock,0.3
investigation,effort,0.26
money,dollar,0.44
coast,hill,0.22
preservation,world,0.09
tennis,racket,0.14
announcement,production,0.15
territory,kilometer,0.19
observation,architecture,0.21
tool,implement,0.5
delay,racism,0.31
type,kind,0.46
tiger,animal,0.33
money,wealth,0.43
dollar,buck,0.16
dollar,profit,0.38
money,laundering,0.3
journey,voyage,0.56
treatment,recovery,0.5
image,surface,0.33
psychology,health,0.31
theater,history,0.17
opera,performance,0.26
midday,noon,0.62
journey,car,0.17
nature,man,0.27
cell,phone,0.27
movie,critic,0.24
announcement,effort,0.2
competition,price,0.09
car,flight,0.25
rock,jazz,0.54
movie,popcorn,0.25
drink,mouth,0.26
territory,surface,0.13
asylum,madhouse,0.19
glass,metal,0.54
precedent,law,0.38
governor,office,0.31
minister,party,0.32
smart,stupid,0.38
man,woman,0.71
football,tennis,0.5
food,preparation,0.34
dividend,payment,0.5
skin,eye,0.57
boy,lad,0.45
stock,live,0.1
peace,insurance,0.12
aluminum,metal,0.63
credit,card,0.34
experience,music,0.18
furnace,stove,0.49
stock,market,0.41
street,place,0.14
king,queen,0.6
benchmark,index,0.39
family,planning,0.07
government,crisis,0.32
cup,artifact,0.06
lawyer,evidence,0.13
start,year,0.22
hundred,percent,0.33
admission,ticket,0.29
drug,abuse,0.53
brother,monk,0.41
murder,manslaughter,0.59
situation,conclusion,0.35
psychology,science,0.67
life,term,0.13
monk,oracle,0.3
practice,institution,0.28
seafood,sea,0.19
deployment,withdrawal,0.43
chord,smile,0.29
production,hike,0.15
money,bank,0.24
money,possession,0.27
tiger,feline,0.29
marathon,sprint,0.45
television,radio,0.6
closet,clothes,0.44
governor,interview,0.22
profit,warning,0.16
morality,importance,0.47
precedent,collection,0.15
concert,virtuoso,0.33
prejudice,recognition,0.27
cup,food,0.05
tiger,cat,0.53
company,stock,0.37
tiger,carnivore,0.28
dividend,calculation,0.4
stock,jaguar,0.24
lover,quarrel,0.44
summer,drought,0.16
game,victory,0.32
law,lawyer,0.35
phone,equipment,0.33
seven,series,0.21
rooster,voyage,0.16
bishop,rabbi,0.4
love,sex,0.37
psychology,anxiety,0.27
movie,theater,0.32
jaguar,cat,0.4
gender,equality,0.51
development,issue,0.16
cup,coffee,0.09
smart,student,0.14
